generation,achievement_name,unlock_rate,count,pop_size
1,collect_sapling,0.3400,17,50
1,wake_up,0.1400,7,50
1,eat_cow,0.0600,3,50
1,place_plant,0.0400,2,50
1,collect_wood,0.0200,1,50
1,defeat_zombie,0.0200,1,50
1,collect_drink,0.0200,1,50
2,collect_sapling,0.4490,22,49
2,wake_up,0.1224,6,49
2,collect_wood,0.0408,2,49
2,place_plant,0.0408,2,49
2,eat_cow,0.0204,1,49
2,defeat_zombie,0.0204,1,49
2,collect_drink,0.0204,1,49
3,collect_sapling,0.3673,18,49
3,wake_up,0.1429,7,49
3,eat_cow,0.0612,3,49
3,place_plant,0.0408,2,49
3,collect_drink,0.0408,2,49
3,collect_wood,0.0204,1,49
4,collect_sapling,0.4490,22,49
4,place_plant,0.1633,8,49
4,wake_up,0.1429,7,49
4,defeat_zombie,0.0612,3,49
4,collect_wood,0.0612,3,49
4,eat_cow,0.0408,2,49
5,collect_sapling,0.4694,23,49
5,place_plant,0.1633,8,49
5,defeat_zombie,0.0816,4,49
5,eat_cow,0.0816,4,49
5,collect_wood,0.0612,3,49
5,wake_up,0.0408,2,49
6,collect_sapling,0.5918,29,49
6,eat_cow,0.1429,7,49
6,defeat_zombie,0.0612,3,49
6,place_plant,0.0612,3,49
6,collect_drink,0.0204,1,49
6,wake_up,0.0204,1,49
7,collect_sapling,0.7143,35,49
7,place_plant,0.2653,13,49
7,eat_cow,0.1633,8,49
7,defeat_zombie,0.0408,2,49
7,collect_wood,0.0204,1,49
8,collect_sapling,0.7959,39,49
8,place_plant,0.2653,13,49
8,eat_cow,0.2041,10,49
8,defeat_zombie,0.1020,5,49
8,collect_wood,0.0204,1,49
9,collect_sapling,0.8776,43,49
9,eat_cow,0.3061,15,49
9,place_plant,0.2041,10,49
9,defeat_zombie,0.1837,9,49
9,collect_wood,0.0612,3,49
9,wake_up,0.0204,1,49
10,collect_sapling,0.8980,44,49
10,place_plant,0.2041,10,49
10,eat_cow,0.1224,6,49
10,defeat_zombie,0.0612,3,49
10,collect_wood,0.0204,1,49
10,collect_drink,0.0204,1,49
11,collect_sapling,0.7755,38,49
11,defeat_zombie,0.1633,8,49
11,place_plant,0.1633,8,49
11,eat_cow,0.0816,4,49
11,collect_wood,0.0612,3,49
12,collect_sapling,0.7959,39,49
12,place_plant,0.1837,9,49
12,eat_cow,0.1224,6,49
12,defeat_zombie,0.1020,5,49
12,collect_drink,0.0204,1,49
13,collect_sapling,0.6939,34,49
13,place_plant,0.1837,9,49
13,defeat_zombie,0.1224,6,49
13,eat_cow,0.1224,6,49
14,collect_sapling,0.8980,44,49
14,place_plant,0.3469,17,49
14,defeat_zombie,0.1429,7,49
14,eat_cow,0.1020,5,49
14,wake_up,0.0204,1,49
15,collect_sapling,0.8163,40,49
15,place_plant,0.3265,16,49
15,defeat_zombie,0.0816,4,49
15,eat_cow,0.0816,4,49
15,wake_up,0.0408,2,49
15,collect_drink,0.0204,1,49
16,collect_sapling,0.6735,33,49
16,place_plant,0.3265,16,49
16,defeat_zombie,0.1224,6,49
16,eat_cow,0.0612,3,49
16,wake_up,0.0408,2,49
17,collect_sapling,0.7551,37,49
17,eat_cow,0.2653,13,49
17,place_plant,0.2449,12,49
17,defeat_zombie,0.2041,10,49
17,wake_up,0.0816,4,49
18,collect_sapling,0.7755,38,49
18,place_plant,0.4082,20,49
18,defeat_zombie,0.0612,3,49
18,collect_wood,0.0204,1,49
18,eat_cow,0.0204,1,49
19,collect_sapling,0.6939,34,49
19,place_plant,0.4082,20,49
19,defeat_zombie,0.1429,7,49
19,wake_up,0.0612,3,49
19,eat_cow,0.0408,2,49
19,collect_wood,0.0204,1,49
20,collect_sapling,0.7143,35,49
20,place_plant,0.2245,11,49
20,eat_cow,0.1224,6,49
20,defeat_zombie,0.1020,5,49
21,collect_sapling,0.7959,39,49
21,place_plant,0.4082,20,49
21,defeat_zombie,0.1224,6,49
21,eat_cow,0.1020,5,49
21,collect_drink,0.0204,1,49
21,collect_wood,0.0204,1,49
22,collect_sapling,0.8163,40,49
22,place_plant,0.3673,18,49
22,eat_cow,0.1020,5,49
22,defeat_zombie,0.1020,5,49
23,collect_sapling,0.9184,45,49
23,place_plant,0.5510,27,49
23,defeat_zombie,0.1224,6,49
23,eat_cow,0.1224,6,49
23,collect_wood,0.0408,2,49
23,collect_drink,0.0408,2,49
24,collect_sapling,0.7347,36,49
24,place_plant,0.4694,23,49
24,eat_cow,0.0408,2,49
24,defeat_zombie,0.0204,1,49
24,collect_drink,0.0204,1,49
24,collect_wood,0.0204,1,49
25,collect_sapling,0.7143,35,49
25,place_plant,0.4694,23,49
25,defeat_zombie,0.1224,6,49
25,eat_cow,0.0612,3,49
25,collect_drink,0.0204,1,49
